,S.No,Parliament Constituency,Leading Candidate,Total Votes,Margin,party
182,28,Chalakudy(11),BENNY BEHANAN,393913,63769,Indian National Congress
183,180,Alipurduars(2),MANOJ TIGGA,572803,64106,Bharatiya Janata Party
184,22,Kasaragod(1),RAJMOHAN UNNITHAN,327972,64341,Indian National Congress
185,192,SURGUJA(1),CHINTAMANI MAHARAJ,713200,64822,Bharatiya Janata Party
186,117,Bhadrak(7),AVIMANYU SETHI,343989,64879,Bharatiya Janata Party
187,63,TONK-SAWAI MADHOPUR (12),HARISH CHANDRA MEENA,623763,64949,Indian National Congress
188,2,CHIDAMBARAM(27),THIRUMAAVALAVAN THOL,314224,65238,Viduthalai Chiruthaigal Katchi
189,1,Yavatmal- Washim(14),SANJAY UTTAMRAO DESHMUKH,463904,65980,Shiv Sena
190,4,Nashik(21),RAJABHAU (PARAG) PRAKASH WAJE,263745,66146,Shiv Sena
191,2,Kadapa(21),Y. S. AVINASH REDDY,592903,66311,Yuvajana Sramika Rythu Congress Party
192,228,New Delhi(4),BANSURI SWARAJ,412462,66442,Bharatiya Janata Party
193,1,MIZORAM(1),RICHARD VANLALHMANGAIHA,206377,66845,Zoram People’s Movement
194,3,Bhiwandi(23),BALYA MAMA - SURESH GOPINATH MHATRE,326150,67673,Nationalist Congress Party – Sharadchandra Pawar
195,194,JANJGIR-CHAMPA(3),KAMLESH JANGDE,564625,67884,Bharatiya Janata Party
196,161,Lucknow(35),RAJ NATH SINGH,379096,68129,Bharatiya Janata Party
197,95,PUDUCHERRY(1),VE VAITHILINGAM,260809,68192,Indian National Congress
198,61,Bagalkot(3),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399,Bharatiya Janata Party
199,11,Bhagalpur(26),AJAY KUMAR MANDAL,337576,68526,Janata Dal
200,11,Nandyal(17),DR BYREDDY SHABARI,455997,69018,Telugu Desam
201,3,Faridkot(9),SARABJEET SINGH KHALSA,295569,69490,Independent
202,1,Kairana(2),IQRA CHOUDHARY,487602,70278,Samajwadi Party
203,51,Koraput(21),SAPTAGIRI SANKAR ULAKA,283926,70372,Indian National Congress
204,18,Srerampur(27),KALYAN BANERJEE,245456,70563,All India Trinamool Congress
205,227,East Delhi(3),HARSH MALHOTRA,527020,70614,Bharatiya Janata Party
206,2,SIKAR(5),AMRARAM,645559,70819,Communist Party of India
207,1,Giridih(6),CHANDRA PRAKASH CHOUDHARY,369503,70899,AJSU Party
208,46,Solapur(42),PRANITI SUSHILKUMAR SHINDE,433392,71524,Indian National Congress
209,58,CHURU(3),RAHUL KASWAN,718284,71662,Indian National Congress
210,12,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,404045,72089,Telugu Desam
211,2,Karakat(35),RAJA RAM SINGH,249880,72098,Communist Party of India
212,57,MANDI(2),KANGNA RANAUT,525691,72696,Bharatiya Janata Party
213,185,Maldaha Uttar(7),KHAGEN MURMU,408744,73294,Bharatiya Janata Party
214,62,Bijapur(4),RAMESH JIGAJINAGI,661489,73355,Bharatiya Janata Party
215,3,Parbhani(17),JADHAV SANJAY ( BANDU ) HARIBHAU,275128,73356,Shiv Sena
216,80,SATNA(9),GANESH SINGH,431318,74017,Bharatiya Janata Party
217,72,Thrissur(10),SURESH GOPI,412338,74686,Bharatiya Janata Party
218,49,Outer Manipur(2),ALFRED KANNGAM S ARTHUR,348684,75145,Indian National Congress
219,27,Palakkad(8),V K SREEKANDAN,417454,75318,Indian National Congress
220,52,Gurdaspur(1),SUKHJINDER SINGH RANDHAWA,330705,75343,Indian National Congress
